UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,DUNS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C18BASIC,C18IPUG,C18IPGRD,C18UGPRF,C18ENPRF,C18SZSET,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,NECTA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG,YEAR
226204,Lee College, ,511 S Whiting,Baytown,TX,77520,48,6,Dr. Lynda Villanueva,President,2814275611,746025566,067261180,358300,1,www.lee.edu/,www.lee.edu/admissions/,www.lee.edu/financialaid/,www.lee.edu/apply-now/,www.lee.edu/financialaid/,www.lee.edu/veterans/, ,www.lee.edu/project-leeway/,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,1,1,3,7,5,40,2,3,2,-2,-2,26420,1,288,-2,48201,Harris County,4836,-94.978184,29.732505,82,2,2020
226408,College of the Mainland,COM,1200 Amburn Road,Texas City,TX,77591-2499,48,6,Warren Nichols,President,4099381211,741555808,969962880,709600,1,www.com.edu/,www.com.edu/admissions/,www.com.edu/financial-aid/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/index.php,www.com.edu/veterans, ,www.com.edu/counseling/disability-services,4,2,1,3,1,2,40,1,2,-2,2,2,22,1,A ,-2,-2,-2,1,1,1,1,1,4,8,2,0,1,1,3,4,2,40,2,2,2,-2,-2,26420,1,288,-2,48167,Galveston County,4814,-94.999602,29.39581,85,1,2020
226578,McLennan Community College,MCC,1400 College Dr,Waco,TX,76708,48,6,Johnette McKown,President,2542998622,741541260,068975598,359000,1,www.mclennan.edu/,www.mclennan.edu/admissions-and-aid/,www.mclennan.edu/financial-aid/,www.mclennan.edu/admissions/become-a-student/,www.mclennan.edu/financial-aid/, ,mcciep.mclennan.edu/home/reports/pdfs/otherReports/Student_Right_To_Know.pdf,www.mclennan.edu/disability/,4,2,1,3,1,2,40,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,2,1,0,1,1,4,5,3,40,2,3,2,-2,-2,47380,1,-2,-2,48309,McLennan County,4817,-97.171228,31.58947,67,1,2020
226806,Midland College, ,3600 N Garfield,Midland,TX,79705,48,6,Stephen Thomas,President,4326854500,751403958,073140931,979700,1,www.midland.edu/,www.midland.edu/enroll,www.midland.edu/enrollment-aid/paying-college/financial-aid/index.php,www.midland.edu/enroll,www.collegeforalltexans.com/apps/CollegeMoney/,https://www.midland.edu/audiences/veterans/index.php, ,www.midland.edu/services-resources/student-services/disabilities-services.php,1,1,1,5,1,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,3,14,5,0,5,2,9,14,12,40,2,2,2,-2,-2,33260,1,372,-2,48329,Midland County,4811,-102.106153,32.029646,191,1,2020
226833,Midwestern State University,MSU-Texas,3410 Taft Blvd,Wichita Falls,TX,76308-2099,48,6,Dr. Suzanne Shipley,President,9403974000,756001738,073149163,359200,1,www.msutexas.edu/,www.msutexas.edu/admissions/index,www.msutexas.edu/finaid/index,www.msutexas.edu/admissions/apply,www.msutexas.edu/finaid/net-price,www.msutexas.edu/registrar/veterans/,www.msutexas.edu/institutional-effectiveness/institutional-data.php,msutexas.edu/student-life/disability/,1,1,1,9,1,1,12,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,4,7,3,13,19,19,21,2,3,2,-2,-2,48660,1,-2,-2,48485,Wichita County,4813,-98.519386,33.874809,110,1,2020
226930,Mountain View College, ,4849 West Illinois Ave.,Dallas,TX,75211-6599,48,6, , , ,-1, ,850300,5, , , , , , , , ,4,2,1,3,1,2,40,1,2,-2,-2,2,11,1,C ,224615,2020,-2,3,1,3,9,-2,-2,3,1,0,1,1,3,3,7,40,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4833,-96.903565,32.726735,-2,-2,2020
227146,Navarro College, ,3200 W 7th Avenue,Corsicana,TX,75110,48,6,Dr. Kevin Fegan,District President,9038746501,751217144,074872680,359300,1,www.navarrocollege.edu/,www.navarrocollege.edu/admissions/,www.navarrocollege.edu/costs-aid/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/index.php, , ,www.navarrocollege.edu/support-services/disability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,4,2,0,1,1,4,4,3,40,2,3,2,-2,-2,18620,2,206,-2,48349,Navarro County,4806,-96.498731,32.076061,73,1,2020
227182,Lone Star College System,North Harris Montgomery|North Harris|NHMCCD|N Harris Montgomery|Kingwood|Tomball|Cy-Fair|CyFair|Montgomery|University Park/Houston North,5000 Research Forest Drive,The Woodlands,TX,77381-4399,48,6,Steve Head,Chancellor,8328136500,741734884,786910620,1114500,1,www.lonestar.edu/,www.lonestar.edu/admissions.htm,www.lonestar.edu/financial-aid.htm,www.lonestar.edu/admissions-application.htm,www.lonestar.edu/financial-aid.htm,www.lonestar.edu/veterans-affairs.htm, ,www.lonestar.edu/disability-services.htm,1,1,1,5,1,2,30,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,3,2,1,0,1,1,5,2,5,40,2,5,2,-2,-2,26420,1,288,-2,48339,Montgomery County,4808,-95.488103,30.18737,189,1,2020
227191,North Lake College, ,5001 North MacArthur Blvd.,Irving,TX,75038-3899,48,6, , , ,-1, ,2077400,5, , , , , , , , ,4,2,1,3,1,2,40,1,2,-2,-2,2,12,1,C ,224615,2020,-2,3,1,3,9,-2,-2,3,1,0,1,1,3,3,7,40,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4824,-96.967098,32.871872,-2,-2,2020
227216,University of North Texas,UNT|North Texas|Mean Grean,1501 W.Chestnut Ave.,Denton,TX,76203-1277,48,6,Neal Smatresk,President,9405652000,756002149,614168995|808659747,359400,1,www.unt.edu/,www.unt.edu/admissions.htm,financialaid.unt.edu/,apply.unt.edu/,www.collegeforalltexans.com/apps/CollegeMoney/,www.unt.edu/veterans/paying-for-college.htm,www.unt.edu/consumer-info.htm,disability.unt.edu/,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,15,14,15,13,4,15,15,16,15,2,5,1,University of North Texas System,148080,19100,1,206,-2,48121,Denton County,4826,-97.148422,33.211178,94,1,2020
227225,Northeast Texas Community College,NTCC,2886 FM 1735,Mount Pleasant,TX,75455,48,6,Dr. Ron Clinton,President,9034348100,751963242,130391196,2315400,1,www.ntcc.edu/,www.ntcc.edu/admissions,www.ntcc.edu/financialaid,https://myeagle.ntcc.edu/ICS/Admissions/,www.collegeforalltexans.com/apps/CollegeMoney/,www.ntcc.edu/index.php?module=Pagesetter&func=viewpub&tid=108&pid=2, ,www.ntcc.edu/specialpopulations,4,2,1,3,1,2,40,1,2,-2,2,2,42,1,A ,-2,-2,-2,1,1,1,1,1,4,6,3,0,2,1,2,5,2,40,2,2,2,-2,-2,34420,2,-2,-2,48449,Titus County,4804,-94.881855,33.104931,80,2,2020
227304,Odessa College, ,201 W University Blvd,Odessa,TX,79764,48,6,Gregory D. Williams,President,4323356400,756002907,073151011,359600,1,www.odessa.edu/,www.odessa.edu/future-students/Admissions/index.html,https://www.odessa.edu/future-students/Financial-Aid/index.html,www.odessa.edu/future-students/Admissions/be-a-wrangler/3-steps/1-Applying for Admission/index.html,www.odessa.edu/future-students/Financial-Aid/Calculating-Cost/NetPriceCalculator2/npcalc.htm,www.odessa.edu/future-students/support-and-services/other-resources/veterans/index.html, ,www.odessa.edu/future-students/support-and-services/other-resources/students-with-disabilities/index.html,1,1,1,5,1,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,3,5,2,0,1,1,3,5,2,40,2,3,2,-2,-2,36220,1,372,-2,48135,Ector County,4811,-102.383477,31.866812,190,1,2020
227368,The University of Texas Rio Grande Valley,UT Rio Grande Valley | UTRGV | University of Texas Rio Grande Valley |,1201 W University Dr,Edinburg,TX,78539-2999,48,6,Dr. Guy Bailey,President,9566652011,746002942,079976131,359900,1,www.utrgv.edu/,www.utrgv.edu/en-us/admissions/,www.utrgv.edu/en-us/admissions/paying-for-college/financial-aid/,https://www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,www.utrgv.edu/en-us/admissions/paying-for-college/financial-aid/veterans-resources/index.htm,www.utrgv.edu/sair/data-reports/consumer-information-disclosures/index.htm,www.utrgv.edu/accessibility/index.htm,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,16,14,18,7,3,15,17,18,21,2,5,1,The University of Texas System,148060,32580,1,365,-2,48215,Hidalgo County,4815,-98.173567,26.306759,97,1,2020
227377,Texas Southmost College, ,80 Fort Brown,Brownsville,TX,78520,48,6,Jesus Roberto Rodriguez,President,9562953600,746002593,076927524,3064600,1,www.tsc.edu/,www.tsc.edu/index.php/admissions-and-records.html,www.tsc.edu/index.php/financial-aid-office.html,www.tsc.edu/index.php/admissions-and-records/apply-now.html,www.tsc.edu/index.php/financial-aid-office/net-price-calculator-.html,www.tsc.edu/index.php/financial-aid-office/veterans-success-center.html, ,www.tsc.edu/index.php/counseling-and-student-accessibility-resources.html,4,2,1,3,1,2,40,1,2,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,6,1,0,1,1,3,-2,19,21,2,3,2,-2,-2,15180,1,154,-2,48061,Cameron County,4834,-97.492241,25.899628,79,2,2020
227386,Panola College, ,1109 W Panola Street,Carthage,TX,75633-2397,48,6,Gregory Powell,President,9036932000,751854775,069730265,360000,1,www.panola.edu/,www.panola.edu/admissions/,www.panola.edu/financial-aid/index.html,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/, , ,www.panola.edu/student-success/disability-support-services/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,5,2,0,2,1,2,1,2,40,2,2,2,-2,-2,-2,-2,-2,-2,48365,Panola County,4801,-94.356355,32.156214,78,1,2020
227401,Paris Junior College, ,2400 Clarksville St,Paris,TX,75460,48,6,"Pamela Anglin, Ed.D.",President,9037857661,756002205,010477230,360100,1,www.parisjc.edu/,www.parisjc.edu/index.php/pjc2/main/gen-info/,www.parisjc.edu/index.php/pjc2/main/financial-aid-at-pjc,https://www.applytexas.org/adappc/gen/c_start.WBX?s_logon_msg=Y,www.collegeforalltexans.com/apps/CollegeMoney,www.parisjc.edu/index.php/pjc2/main/veterans,www.parisjc.edu/index.php/pjc2/main/institutional-information,www.parisjc.edu/index.php/pjc2/main/disabilities,4,2,1,3,1,2,40,1,2,-2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,4,6,2,0,1,1,3,8,2,40,2,2,2,-2,-2,37580,2,-2,-2,48277,Lamar County,4804,-95.529177,33.650929,79,1,2020
227526,Prairie View A & M University,PVAMU,FM 1098 Road & University Drive,Prairie View,TX,77446,48,6,Ruth J. Simmons,President,9362613311,746001078, ,363000,1,www.pvamu.edu/,www.pvamu.edu/admissions/undergraduate/,www.pvamu.edu/faid/,www.applytexas.org/adappc/gen/c_start.WBX?s_logon_msg=Y,www.collegeforalltexans.com/apps/CollegeMoney/,www.pvamu.edu/sa/departments/veteranaffairs/veterans-and-dependents/, ,www.pvamu.edu/disabilityservices/,1,1,1,9,1,1,12,1,1,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,18,11,3,14,17,18,21,1,3,1,Texas A&M University System,148020,26420,1,288,-2,48473,Waller County,4810,-95.989475,30.092425,108,1,2020
227687,Ranger College, ,1100 College Circle,Ranger,TX,76470,48,6,Dr. William J. Campion,President,2546473234,756002296,060162906,360300,1,www.rangercollege.edu/,www.rangercollege.edu/,www.rangercollege.edu/,www.rangercollege.edu/,www.rangercollege.edu/financial-aid/,www.rangercollege.edu/, ,www.rangercollege.edu/,4,2,1,3,1,2,40,1,2,-2,2,2,42,1,A ,-2,-2,-2,1,1,1,1,1,4,1,2,0,2,1,2,7,1,40,2,2,2,-2,-2,-2,-2,-2,-2,48133,Eastland County,4811,-98.685215,32.456773,65,2,2020
227766,Richland College, ,12800 Abrams Rd.,Dallas,TX,75243-2199,48,6, , , ,-1, ,850400,5, , , , , , , , ,4,2,1,3,1,2,40,1,2,-2,-2,2,11,1,C ,224615,2020,-2,3,1,3,9,-2,-2,3,1,0,1,1,4,3,7,40,2,-2,-2,-2,-2,19100,1,206,-2,48113,Dallas County,4832,-96.730498,32.922135,-2,-2,2020
227854,St Philip's College, ,1801 Martin Luther King Dr,San Antonio,TX,78203-2098,48,6,Dr. Adena Williams Loston,President,2104862000,746002173,193085669,360800,1,www.alamo.edu/spc/,www.alamo.edu/spc/admissions/,www.alamo.edu/district/financial-aid/,www.applytexas.org/adappc/gen/c_start.WBX,www.alamo.edu/nvc/experience-nvc/current-students/financial-literacy/, , ,https://www.alamo.edu/spc/experience-spc/current-students/safe-space/disability-services/,4,2,1,3,1,2,40,1,1,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,9,3,0,1,1,4,9,7,40,2,4,1,Alamo Colleges,148010,41700,1,484,-2,48029,Bexar County,4835,-98.453285,29.41508,88,1,2020
227881,Sam Houston State University,SHSU,1806 Ave J,Huntsville,TX,77340,48,6,Dr. Alisa White,President,9362941111,746001430,074179896,360600,1,www.shsu.edu/,www.shsu.edu/admissions,www.shsu.edu/~fao_www/,www.shsu.edu/admissions/apply-texas.html,www.collegeforalltexans.com/apps/CollegeMoney/,veterans.portal.texas.gov/,www.gobearkats.com/ViewArticle.dbml?&DB_OEM_ID=19900&ATCLID=205085299,www.shsu.edu/dept/disability/,1,1,1,9,1,1,11,1,2,1,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,17,16,18,13,3,15,17,17,21,2,5,1,Texas State University System,148040,26660,2,288,-2,48471,Walker County,4808,-95.546205,30.714738,101,1,2020
227924,San Antonio College, ,"1819 N. Main Ave.,",San Antonio,TX,78212-3941,48,6,Dr. Robert Vela,President,2104860000,746002173,949143622,916300,1,www.alamo.edu/sac,www.alamo.edu/sac/admissions/,www.alamo.edu/district/financial-aid/,www.applytexas.org/adappc/gen/c_start.WBX,www.alamo.edu/nvc/experience-nvc/current-students/financial-literacy/, , ,www.alamo.edu/sac/about-sac/college-offices/disability-support-services/,4,2,1,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,3,2,0,1,1,4,2,7,40,2,4,1,Alamo Colleges,148010,41700,1,484,-2,48029,Bexar County,4835,-98.497647,29.44634,70,1,2020
227979,San Jacinto Community College,San Jacinto College,8060 Spencer Hwy,Pasadena,TX,77505,48,6,Dr. Brenda Hellyer,Chancellor,2819986150,746028285,077422798,360900,1,www.sanjac.edu/,https://www.sanjac.edu/steps-enroll,https://www.sanjac.edu/financial-aid,https://www.applytexas.org/adappc/gen/c_start.WBX,https://www.sanjac.edu/apply-register-pay/paying-college/payments/how-pay-college,https://www.sanjac.edu/student-services/student-support/veteran-services/veteran-benefits, ,https://www.sanjac.edu/student-services/student-concerns/student-handbook/disability-services,1,1,1,5,1,2,30,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,3,5,2,0,1,1,5,5,5,40,2,5,2,-2,-2,26420,1,288,-2,48201,Harris County,4836,-95.114677,29.660032,189,1,2020
228158,South Plains College, ,1401 S. College Ave,Levelland,TX,79336,48,6,Robin Satterwhite,President,80689496112542,756004667,066391004,361100,1,www.southplainscollege.edu/,catalog.southplainscollege.edu/content.php?catoid=50&navoid=1360,www.southplainscollege.edu/admission-aid/paying-for-school/financial_aid.php,www.southplainscollege.edu/apply.php,www.collegeforalltexans.com/apps/CollegeMoney/,www.southplainscollege.edu/admission-aid/apply/veterans/veteransinformation.php,static.psbin.com/n/3/n1dxeehe7u54tm/AthleticsAcademicSuccess.pdf,www.southplainscollege.edu/health/disabilityservices.php,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,5,2,0,2,1,4,5,3,40,2,3,2,-2,-2,30220,2,352,-2,48219,Hockley County,4819,-102.365075,33.575904,76,1,2020
228316,Southwest Texas Junior College, ,2401 Garner Field Rd,Uvalde,TX,78801-6297,48,6,Dr. Hector Gonzales,President,8302784401,746002420,078494705,361400,1,www.swtjc.net/,www.swtjc.net/admissions-aid/new-students.html,www.swtjc.net/admissions-aid/financial-aid/index.html,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,www.swtjc.net/admissions-aid/veteran-services.html, ,www.swtjc.net/academics/disability-support-services.html,4,2,1,3,1,2,40,1,2,-2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,4,2,2,0,1,1,3,1,2,40,2,3,2,-2,-2,46620,2,-2,-2,48463,Uvalde County,4823,-99.741237,29.219671,67,1,2020
228431,Stephen F Austin State University,"SFASU, SFA, Stephen F, Stephen F. Austin","2008 Alumni Drive, Rusk 206",Nacogdoches,TX,75961,48,6,Scott Gordon,President,9364682011,756002514,073894727,362400,1,www.sfasu.edu/,www.sfasu.edu/admissions/,www.sfasu.edu/faid/,www.sfasu.edu/admissions/prospective.asp,www.sfasu.edu/faid/npc.asp,www.sfasu.edu/controller/businessoffice/students/waivers-exemptions.asp, ,www.sfasu.edu/disabilityservices/,1,1,1,9,1,1,12,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,2,17,13,18,13,3,16,18,18,21,2,4,2,-2,-2,34860,2,-2,-2,48347,Nacogdoches County,4801,-94.64908,31.621056,101,2,2020
228459,Texas State University,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,601 University Dr,San Marcos,TX,78666,48,6,Denise Trauth,President,5122452111,746002248,074602368,361500,1,www.txstate.edu/,www.admissions.txstate.edu/,www.finaid.txstate.edu/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.finaid.txstate.edu/more-info/npc.html,www.va.txstate.edu/,https://web3.ncaa.org/aprsearch/gsrsearch,www.ods.txstate.edu/,1,1,1,9,1,1,11,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,16,14,18,13,3,15,16,18,21,2,5,1,Texas State University System,148040,12420,1,-2,-2,48209,Hays County,4835,-97.943029,29.888885,97,1,2020
228501,Sul Ross State University,Sul Ross,HWY 90 East,Alpine,TX,79832,48,6,Pete Gallego,President,4328378011,746000027,077608966,362500,1,www.sulross.edu/,www.sulross.edu/section/234/getting-started,www.sulross.edu/page/106/financial-aid,www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,www.sulross.edu/page/1872/veteran-affairs, ,blogs.sulross.edu/counseling/accessibility-services/,1,1,1,7,1,1,20,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,4,7,4,10,18,18,21,2,2,1,Texas State University System,148040,-2,-2,-2,-2,48043,Brewster County,4823,-103.651469,30.363139,110,1,2020
228529,Tarleton State University,Tarleton|Texans|TSU|Tarleton State|,1333 W. Washington,Stephenville,TX,76401-0000,48,6,Dr. James L. Hurley,President,2549689000,756001870,073161697,363100,1,www.tarleton.edu/,www.tarleton.edu/admissions/,www.tarleton.edu/finaid/,www.applytexas.org/adappc/gen/c_start.WBX,www.shoppingsheet.com/Shopping/Landing/tarleton, ,https://web1.ncaa.org/app_data/gsr2015/1395.pdf,www.tarleton.edu/disability/,1,1,1,9,1,1,12,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,12,7,3,16,18,18,21,2,4,1,Texas A&M University System,148020,44500,2,-2,-2,48143,Erath County,4825,-98.214866,32.214988,107,1,2020
228547,Tarrant County College District,Tarrant County College,1500 Houston St,Fort Worth,TX,76102-6524,48,6,Eugene V. Giovannini,Chancellor,8175158223,751217163,073139040,362600,1,www.tccd.edu/,www.tccd.edu/admission/how-to-apply/,www.tccd.edu/services/paying-for-college/financial-aid/,www.tccd.edu/admission/how-to-apply/,www.tccd.edu/services/paying-for-college/tuition-and-fees/cost-of-attendance/,www.tccd.edu/services/veterans-services/, ,www.tccd.edu/services/support-services/student-accessibility-resources/,4,2,1,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,2,1,0,1,1,5,2,7,40,2,5,2,-2,-2,19100,1,206,-2,48439,Tarrant County,4812,-97.327941,32.747495,66,2,2020
228608,Temple College,Temple Junior College,2600 S 1st St,Temple,TX,76504-7435,48,6,Dr. Christina Ponce,President,2542988282,746020689,071386411,362700,1,www.templejc.edu/,www.templejc.edu/admissions/,www.templejc.edu/admissions/financial-aid/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,www.templejc.edu/admissions/veterans-affairs/,www.templejc.edu/admissions/right-to-know/,www.templejc.edu/admissions/right-to-know/academic-accommodations/,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,4,1,0,1,1,3,1,2,40,2,2,2,-2,-2,28660,1,-2,-2,48027,Bell County,4831,-97.350471,31.070715,74,1,2020
228635,University of Texas Southwestern Medical Center,UT Southwestern  UT Southwestern Medical School  UT Southwestern Graduate School of Biomedical Sciences  UT Southwestern Allied Health Sciences School  UTSW Medical School  UTSW Graduate School  UTSW Allied Health School  UTSWMC  UTSWMC Medical School  UTSWMC Graduate School  UTSWMC Allied Health School  University of Texas Southwestern Medical School  University of Texas Southwestern Graduate School of Biomedical Sciences  University of Texas Southwestern Allied Health Sciences School  University of Texas Southwestern School of Health Professions,5323 Harry Hines Blvd,Dallas,TX,75390-9096,48,6,"Daniel K. Podolsky, M.D.",President,2146483606,756002868,800771545,1001900,1,www.utsouthwestern.edu/,www.utsouthwestern.edu/education/utsw-catalog/,www.utsouthwestern.edu/about-us/administrative-offices/financial-aid/, ,www.utsouthwestern.edu/about-us/administrative-offices/financial-aid/,www.utsouthwestern.edu/about-us/administrative-offices/registrar.html, ,www.utsouthwestern.edu/education/student-services/academic-support/,1,1,1,9,2,1,11,1,2,1,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,1,25,0,17,0,7,18,25,25,52,2,2,1,The University of Texas System,148060,19100,1,206,-2,48113,Dallas County,4830,-96.841156,32.812307,152,2,2020
228644,The University of Texas Health Science Center at San Antonio,UT Health San Antonio,7703 Floyd Curl Dr,San Antonio,TX,78229-3900,48,6,"Henrich, William L., M.D,",President,2105672620,741586031,800772162,365900,1,www.uthscsa.edu/,uthscsa.edu/academics,https://students.uthscsa.edu/financialaid/,uthscsa.edu/academics,https://students.uthscsa.edu/financialaid/,https://students.uthscsa.edu/financialaid/2013/04/va-education-benefits-va-certification-process/, ,uthscsa.edu/eeo/index.asp,1,1,1,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,25,20,17,11,6,9,25,25,52,2,2,1,The University of Texas System,148060,41700,1,484,-2,48029,Bexar County,4821,-98.575655,29.508107,152,1,2020
228653,The University of Texas Medical Branch at Galveston,UTMB,301 University Blvd,Galveston,TX,77555-0129,48,6,"Ben Raimer, MD, MA, FAAP",Interim President,4097721011,746000949,800771149,495200,1,https://www.utmb.edu/,https://www.utmb.edu/enrollmentservices/,https://www.utmb.edu/enrollmentservices/financialaid.asp,https://www.utmb.edu/enrollmentservices/resources/admissions,https://www.utmb.edu/enrollmentservices/resources/studentaccounts/tuition-and-fee-sheets,https://www.utmb.edu/enrollmentservices/financialaid_veterans.asp, ,https://www.utmb.edu/studentservices/disabilities.asp,1,1,1,9,1,1,11,1,2,1,1,2,31,1,A ,-2,-2,-2,1,1,1,1,1,2,25,20,17,11,6,10,25,25,52,2,2,1,The University of Texas System,148060,26420,1,288,-2,48167,Galveston County,4814,-94.775956,29.310758,152,1,2020
228699,Texarkana College, ,2500 N Robison Rd,Texarkana,TX,75599,48,6,Dr. Jason Smith,President,9038233456,756004413,069748747,362800,1,https://www.texarkanacollege.edu/,https://www.texarkanacollege.edu/enrollment-services/,https://www.texarkanacollege.edu/financial-aid/,https://www.applytexas.org/adappc/gen/c_start.WBX,https://www.texarkanacollege.edu/financial-aid/,https://www.texarkanacollege.edu/financial-aid/veterans/, ,www.texarkanacollege.edu/ada-assistance/,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,9,2,0,1,1,3,8,2,40,2,2,2,-2,-2,45500,1,-2,-2,48037,Bowie County,4804,-94.078,33.441868,88,1,2020
228705,Texas A & M University-Kingsville,Texas A&M-Kingsville,955 University Blvd,Kingsville,TX,78363,48,6,Dr. Mark A. Hussey,President,3615932111,746001530,868154089,363900,1,https://www.tamuk.edu/,https://www.tamuk.edu/enrollment-management/admission/,https://www.tamuk.edu/enrollment-management/finaid/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,https://www.tamuk.edu/enrollment-management/veterans/index.html,https://javelinaathletics.com/sports/2016/3/30/student-right-to-know.aspx,www.tamuk.edu/drc/,1,1,1,9,1,1,12,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,16,17,18,11,4,13,17,17,16,2,3,1,Texas A&M University System,148020,28780,2,204,-2,48273,Kleberg County,4834,-97.882387,27.525168,99,1,2020
228723,Texas A & M University-College Station,Texas A&M | TAMU,"JKW Administration Building, Suite 200",College Station,TX,77843-1248,48,6,Dr. Michael K. Young,President,9798453211,746000531,195576269,363200,1,https://www.tamu.edu/,admissions.tamu.edu/,financialaid.tamu.edu/,admissions.tamu.edu/freshman/apply,www.collegeforalltexans.com/apps/CollegeMoney/,veterans.tamu.edu/Home,"registrar.tamu.edu/Catalogs,-Policies-Procedures/Student-Right-to-Know",https://disability.tamu.edu/,1,1,1,9,1,1,11,1,2,2,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,15,17,14,14,4,16,15,15,15,1,5,1,Texas A&M University System,148020,17780,1,-2,-2,48041,Brazos County,4817,-96.336475,30.618726,93,1,2020
228769,The University of Texas at Arlington,UT Arlington,701 S. Nedderman Dr.,Arlington,TX,76013,48,6,Dr. Teik C. Lim,Interim President,8172722011,756000121,064234610,365600,1,https://www.uta.edu/,https://www.uta.edu/admissions,https://www.uta.edu/fao,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/, ,www.ncaa.org/about/resources/research/graduation-rates,www.uta.edu/disability/,1,1,1,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,15,17,15,5,4,16,15,16,15,2,5,1,The University of Texas System,148060,19100,1,206,-2,48439,Tarrant County,4806,-97.11296,32.729718,93,1,2020
